Government Code,cat,Short Description,Description
7071(c)(1),Category 1,Umanned Drones and Robots,"Unmanned, remotely piloted, powered aerial or ground vehicles "
7071(c)(2),Category 2,Mine-Resistant Ambush Protected (MRAP) Vehicles,Mine-resistant ambush-protected vehicles or armored personnel carriers 
7071(c)(3),Category 3,Armored vehicles for breaching,"High mobility multipurpose wheeled vehicles (HMMWV), two-and-one-half-ton trucks, five-ton trucks, or wheeled vehicles that have a breaching or entry apparatus attached "
7071(c)(4),Category 4,Tank-like vehicles,Tracked armored vehicles that provide ballistic protection to their occupants 
7071(c)(5),Category 5,Command Post Vehicles (MCV),Command and control vehicles that are either built or modified to facilitate the operational control and direction of public safety units (Category 5).
7071(c)(6),Category 6,Weaponized vehicles,"Weaponized aircraft, vessels, or vehicles of any kind "
7071(c)(7),Category 7,Explosive breaching equipment and ammunition,"Battering rams, slugs, and breaching apparatuses that are explosive in nature. However, items designed to remove a lock, such as bolt cutters, or a handheld ram designed to be operated by one person, are specifically excluded from this subdivision."
7071(c)(8),Category 8,Armor penetrating firearms,"Firearms of .50 caliber or greater. However, standard issue shotguns are specifically excluded from this subdivision"
7071(c)(9),Category 9,Armor penetrating ammunitions,"Ammunition of .50 caliber or greater. However, standard issue shotgun ammunition is specifically excluded from this subdivision"
7071(c)(10),Category 10,Assault Rifles and Ammunition (less than .50 caliber),"Specialized firearms and ammunition of less than .50 caliber, including assault weapons as defined in Sections 30510 and 30515 of the Penal Code, with the exception of standard issue service weapons and ammunition of less than .50 caliber that are issued to officers, agents, or employees of a law enforcement agency or a state agency."
7071(c)(11),Category 11,Projectile Launch munitions and Platforms,Any firearm or firearm accessory that is designed to launch explosive projectiles
7071(c)(12),Category 12,Projected disabling crowd control devices and accessories,"“Flashbang” grenades and explosive breaching tools, “tear gas,” and “pepper balls,” excluding standard, service-issued handheld pepper spray."
7071(c)(13),Category 13,Diversionary crowd control devices and accessories ,"TASER® Shockwave, microwave weapons, water cannons, and long-range acoustic devices "
7071(c)(14),Category 14,Less lethal launchers and accessories,"The following projectile launch platforms and their associated munitions: 40mm projectile launchers, “bean bag,” rubber bullet, and specialty impact munition (SIM) weapons."
7071(c)(15),Category 15,Other ,Any other equipment as determined by a governing body or a state agency to require additional oversight.
